,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
0,1483675.827526987,200,0.9096666666666666,50,120000,210000,334000
1,1508580.6145895626,208,0.9253333333333333,50,120000,216400,340400
2,1518832.0970696558,216,0.9336666666666666,50,120000,222800,346800
3,1520424.8086601007,224,0.9376666666666666,50,120000,229200,353200
4,1534672.6469354164,232,0.948,50,120000,235600,359600
5,1542259.8922186948,240,0.955,50,120000,242000,366000
6,1544518.6631083435,248,0.9593333333333334,50,120000,248400,372400
7,1548109.5525963993,256,0.9643333333333334,50,120000,254800,378800
8,1550368.3234860478,264,0.9686666666666667,50,120000,261200,385200
9,1551302.2641868442,272,0.9683333333333334,50,120000,267600,391600
10,1554885.865265345,280,0.9773333333333334,50,120000,274000,398000
11,1552302.1341837341,288,0.9723333333333334,50,120000,280400,404400
12,1550102.22,296,0.98,50,120000,286800,410800
13,1550339.169847827,304,0.9846666666666667,50,120000,293200,417200
14,1545937.3477454383,312,0.9856666666666667,50,120000,299600,423600
15,1543207.0512494196,320,0.984,50,120000,306000,430000
16,1537133.7035406607,328,0.9876666666666667,50,120000,312400,436400
17,1538726.4151311053,336,0.9916666666666667,50,120000,318800,442800
18,1536322.770926328,344,0.9936666666666667,50,120000,325200,449200
19,1528590.6523279203,352,0.993,50,120000,331600,455600
20,1522856.7116271239,360,0.9933333333333333,50,120000,338000,462000
21,1521785.1860207538,368,0.996,50,120000,344400,468400
22,1511388.8302255315,376,0.994,50,120000,350800,474800
23,1508985.1860207538,384,0.996,50,120000,357200,481200
24,1503917.3046191614,392,0.9966666666666667,50,120000,363600,487600
25,1498183.3639183652,400,0.997,50,120000,370000,494000